tweet_id,text,favorite_count,retweet_count,created_at
1389561798555312131,A nine-year-old boy slipped past his parents and jumped onto the bag conveyor belt as a group of people checked the… https://t.co/ncOqMUefaL,34,11,Tue May 04 12:45:24 +0000 2021
1389561737255473152,EU scraps plan to observe Ethiopia election https://t.co/srkissAPe0 https://t.co/Ph5jq2VVcE,37,12,Tue May 04 12:45:09 +0000 2021
1389561731823833088,Billionaire Alec Gores has become a serial SPAC backer as the market has heated up for special-purpose acquisition… https://t.co/jpuyMXbSsz,29,8,Tue May 04 12:45:08 +0000 2021
1389561694662365186,"Usman Khan mentor visits stopped weeks before terror attack, inquest told https://t.co/TykRCGFs7K",10,5,Tue May 04 12:44:59 +0000 2021
1389561637070331905,Thread ⬇️ https://t.co/YK8sNrNd4k,0,0,Tue May 04 12:44:45 +0000 2021
1389561557554769924,RT @RSTMH: 🗣️ “Sweden’s announcement that it will share 1 million doses of #COVID19 vaccines with #COVAX is a superb gesture that must be r…,0,11,Tue May 04 12:44:26 +0000 2021
1389561253354479617,After four people were fatally shot by members of the Ohio National Guard during a protest at Kent State University… https://t.co/pNMFTrYyRt,75,24,Tue May 04 12:43:14 +0000 2021
1389561224673828866,Can the sprawling group remain in one piece at a time when conglomerates are out of fashion? https://t.co/KogWVJt6h9,32,6,Tue May 04 12:43:07 +0000 2021
1389561215966449665,"He yelled at “yuppies” in a park. Then he drove his truck into a crowd of picnickers, police said. https://t.co/WsxyBQ7MY2",123,52,Tue May 04 12:43:05 +0000 2021
1389561210044129283,The man accused of killing two people in a shooting at a hotel restaurant attached to the Oneida Nation casino in A… https://t.co/TpRta2BJZE,28,14,Tue May 04 12:43:03 +0000 2021
1389561065944530949,"RT @viaCristiano: New: Here's what we know about the people deciding Trump's fate on Facebook, what they've said about Trump &amp; social media…",0,7,Tue May 04 12:42:29 +0000 2021
1389560946658627585,The Breakdown | Gatland must pick right characters for Lions’ unique tour in South Africa https://t.co/Gji7p9jMKS,20,4,Tue May 04 12:42:01 +0000 2021
1389560855587610629,"RT @NafyadWakjira: አሜሪካ ምርጫ ስታካሂድ የማንንም ፍቃድ ጠይቃ አይደለም!
እንግሊዝም ሆኑ ሌሎችም አውሮፓ ሀገራትም ቢሆን ኢትዮጵያም የማንንም ፈቃድ አትሻም ምርጫ ለማካሄድ
#EthiopiaPrevails @Abi…",0,14,Tue May 04 12:41:39 +0000 2021
1389560634736533506,https://t.co/T81RTr7RWi https://t.co/BhrTJpC9Xm,11,8,Tue May 04 12:40:46 +0000 2021
1389560472719044608,"Eli Lilly to supply 400,000 tablets of its COVID-19 treatment to India https://t.co/PJjKo62nuE https://t.co/w8mhMr4fGv",105,28,Tue May 04 12:40:08 +0000 2021
1389560470827323392,Prince Harry makes impassioned plea for vaccinations https://t.co/GiJLqStxiG https://t.co/wqMy36qphX,77,14,Tue May 04 12:40:07 +0000 2021
1389560439906869251,"It’s #StarWarsDay! What started as a pun for fans has become an annual celebration of the galaxy far, far away. Her… https://t.co/gHpvqY6lTs",201,79,Tue May 04 12:40:00 +0000 2021
1389560425881251841,Commerce Secretary Raimondo is right: We can’t afford not to rebuild our nation’s crumbling infrastructure and inve… https://t.co/6aTHvgIO0f,2101,402,Tue May 04 12:39:56 +0000 2021
1389559719778529281,"Chauvin juror on attending protest: ""I just thought it was a good opportunity to be a part of something""… https://t.co/6sTM2FFIgC",83,14,Tue May 04 12:37:08 +0000 2021
1389559674236715010,National weather forecast: US to see more severe storms https://t.co/FsjM79NxVj,53,21,Tue May 04 12:36:57 +0000 2021
1389559452387450882,"Pfizer’s coronavirus vaccine generated $3.5 billion in revenue in the first three months of 2021, the company repor… https://t.co/xnEDWoFQOc",403,227,Tue May 04 12:36:04 +0000 2021
1389559428756774921,A lot of this lawyering up stands on the dubious premise of emergency use authorization status of the vaccines. Exc… https://t.co/v0avM9DgL5,25,2,Tue May 04 12:35:59 +0000 2021
1389559273462579227,First team of mounted archers takes aim in Gaza https://t.co/a899p1qqUL https://t.co/wgO74ZBHXu,84,15,Tue May 04 12:35:22 +0000 2021
1389559201245155330,"The NRCC has added 10 House Dems to its list of takeover targets, bringing the total to 57. They are:

• Ami Bera
•… https://t.co/IXg1m6nCpc",17,6,Tue May 04 12:35:04 +0000 2021
1389559106588053506,RT @YaredSent: @NeaminZeleke @Betty_Moges @France24_en You did great by debating 2 to 1. It’s unfair that @France24_en invited 2 proponents…,0,4,Tue May 04 12:34:42 +0000 2021
1389559055073619968,"RT @ZemariamF: Yes, who made EU measure of Free &amp; Fair elections &amp; 
other good things?!
This is z 2nd time 4 EU 2 betray us. 1st, in z 2005…",0,11,Tue May 04 12:34:30 +0000 2021
1389558965202210818,RT @Mikitango: Another appreciation tweet to @NeaminZeleke 👏👏👏👏👏We are pround to have you! ዘረኛ ካልወደደህ፣ it means you are doing something rig…,0,6,Tue May 04 12:34:08 +0000 2021
1389558954666115075,"""I don’t know one girl or woman who hasn’t had a weird experience or a really bad experience,"" Billie Eilish said. https://t.co/hqvsGBWWtz",56,11,Tue May 04 12:34:06 +0000 2021
1389558793885913090,"RT @meronina: Our article on Swedish Eritrean imprisoned journalist Dawit Isaak, with @KurdoBaksi
@EsayasIsaak, 
Erik Halkjaer and me ""We m…",0,6,Tue May 04 12:33:27 +0000 2021
1389558763007447042,RT @Qomche: @Peacean99413876 @NeaminZeleke @Erythree_ @France24_en She will present her 'Evidence' in court.,0,1,Tue May 04 12:33:20 +0000 2021
1389558684481691651,‘We need to work together’: UK doctors raise Covid funds for India https://t.co/3VQJqOuDrt,66,20,Tue May 04 12:33:01 +0000 2021
1389558475869536258,"RT @rahel77810531: @SemenStarr @NeaminZeleke The Truth Matters ,  TPLF and its cronies are on the 'crazy train' with unhinged Propaganda co…",0,2,Tue May 04 12:32:12 +0000 2021
1389558445926494208,Why do the Carters look so tiny alongside Joe Biden and his wife Jill in this picture? https://t.co/Xo5OYjKUTs,81,30,Tue May 04 12:32:04 +0000 2021
1389558385096417281,JPMorgan Chase CEO Jamie Dimon speaks with WSJ Editor in Chief Matt Murray about America’s rebound from the pandemi… https://t.co/9D2RbcCQhE,58,22,Tue May 04 12:31:50 +0000 2021
1389558351755939841,"RT @EthiopiansE: As the saying goes ""ሌባ እናት ልጇን አታምንም"" It is in #TPLF's DNA to lie and steal. #TPLF  looted the Eritreans businesses and pr…",0,11,Tue May 04 12:31:42 +0000 2021
1389558320982278149,"Daniel Markovits: ""America's 1% got way richer during the pandemic. We need a onetime wealth tax to help rebuild th… https://t.co/WfGcufyTtC",78,25,Tue May 04 12:31:35 +0000 2021
1389558228342738945,"RT @APEntertainment: Stacey Abrams, romance writer. Three novels @staceyabrams wrote nearly 20 years ago under the name Selena Montgomery w…",0,37,Tue May 04 12:31:13 +0000 2021
1389557994510241794,"RT @rahel77810531: @Tseday @NeaminZeleke The Truth Matters ,  TPLF and its cronies are on the 'crazy train' with unhinged Propaganda conspi…",0,4,Tue May 04 12:30:17 +0000 2021
1389557990810951680,🙋🏾‍♀️ https://t.co/5P62CnVqLH,2,1,Tue May 04 12:30:16 +0000 2021
1389557983034712066,"""What Biden's brain trust wanted to ensure is that the negative effects of tax hikes on business and the wealthy do… https://t.co/A1EuBrMUzp",146,35,Tue May 04 12:30:14 +0000 2021
1389557963870855173,Analysis: Buffett’s ESG snub risks alienating Wall Street https://t.co/p8t6iIOJdE https://t.co/Q5IljkimZr,26,9,Tue May 04 12:30:09 +0000 2021
1389557962293850121,"RT @adancabdulle: “The Somali Federal Government also uses online trolling groups intended to manipulate social media, harass, intimidate a…",0,5,Tue May 04 12:30:09 +0000 2021
1389557944455417859,How many words can you make with 7 letters? Try today’s Spelling Bee. https://t.co/l1l99yJ5Ac https://t.co/STe3Wd4Yto,126,16,Tue May 04 12:30:05 +0000 2021
1389557938998624260,RT @KennyEthiopian: @NeaminZeleke Hey Neamin; isn’t fitting that the government of Ethiopia labeled OLF and TPLF as terrorists!? It is long…,0,3,Tue May 04 12:30:04 +0000 2021
1389557923806736391,"From an overpass collapse in Mexico City that killed more than 20 people, to Bill and Melinda Gates filing for divo… https://t.co/fJ6Uz68A9C",50,15,Tue May 04 12:30:00 +0000 2021
1389557886645374977,RT @Voices4Ethiopia: Ethiopia's journey towards democracy continues.  Ethiopians are looking forward to the upcoming historic election unde…,0,15,Tue May 04 12:29:51 +0000 2021
1389557838066995205,"RT @Voices4Ethiopia: Election day for Ethiopians is 32 days away - June 5th.

Reject ethnic federalism and the poison for hate and division…",0,5,Tue May 04 12:29:39 +0000 2021
1389557831662292994,Britney Spears attacks 'hypocritical' documentaries in Instagram post https://t.co/tWd6ltkhR1,173,26,Tue May 04 12:29:38 +0000 2021
1389557823164538901,Fact Checker: Democrats and Republicans need a translator when speaking infrastructure https://t.co/h7ke54jRVE,78,20,Tue May 04 12:29:36 +0000 2021
1389557732093698051,"RT @EnuFeker: #Free, democratic &amp;Peaceful transition is the start of a new hope &amp; national healing for Ethiopians #EthiopiaPrevails @EU_Com…",0,7,Tue May 04 12:29:14 +0000 2021
1389557691039768582,And $0.55. https://t.co/08Gz6j2DGB,30,0,Tue May 04 12:29:04 +0000 2021
1389557586727428097,This could come in handy tomorrow. https://t.co/QalzbzC7q6,3,1,Tue May 04 12:28:40 +0000 2021
1389557490786971651,"RT @YohannesFrezer: @henokgabisa @FRANCE24 @NeaminZeleke Mr. Henock, it's unbelievably sad that you are on the world stage defending TPLF.…",0,8,Tue May 04 12:28:17 +0000 2021
1389557427654348802,Trump muddles Republican messaging on Afghanistan https://t.co/E8nFTRgBTK https://t.co/OJHlHGy1xc,19,7,Tue May 04 12:28:02 +0000 2021
1389557406498181123,"RT @Yemwedsh_Nathan: እሱ የኢትዮጵያ አርበኛ ነው፡፡
እናመሰግናለን @NeaminZeleke ኢትዮጵያን ከውስጥም ከውጭም 🤜#ተኩላዎች እየታደግ ስላለ🙏 https://t.co/q2KWqgi2wR",0,5,Tue May 04 12:27:57 +0000 2021
1389557380397031429,RT @addisstandard: Update: Commissioner Abere was replaced by Commissioner Tekola Ayfokiru last week following regional officilas' reshufls…,0,5,Tue May 04 12:27:50 +0000 2021
1389557358729310210,"RT @addisstandard: Breaking: Reports reaching AS indicate former Amhara region Police Commissioner, Abere Adamu, has passed away. The circu…",0,38,Tue May 04 12:27:45 +0000 2021
1389557345823436804,"RT @LeinadTarsa: Credible nonpartisan observers are interested in promoting integrity, transparency &amp; efficiency in the electoral process &amp;…",0,6,Tue May 04 12:27:42 +0000 2021
1389557254060449792,RT @eliudkibii: President @SuluhuSamia: We have discussed many things with President Kenyatta but what I want to emphasize is about promoti…,0,1,Tue May 04 12:27:20 +0000 2021
1389557223811072000,1843 magazine is launching a mentorship programme for black photographers. Apply for this exciting opportunity by J… https://t.co/1kBS8vyJWB,35,21,Tue May 04 12:27:13 +0000 2021
1389556916301541388,"RT @awolallo: Those who opposed the war &amp; warned against its calamitous consequences were branded traitors &amp; TPLF stooges. 6 months on, the…",0,42,Tue May 04 12:26:00 +0000 2021
1389556873532223491,"RT @samuelhabte: @jeru13954205 @JamaNuur1 @FBedaso @NeaminZeleke Not tegarus; it's a low grade, over branded, overrated bunch of ethno fund…",0,4,Tue May 04 12:25:50 +0000 2021
1389556854850740225,RT @awolallo: Today marks 6 months since the war in Tigray began. The Ethiopian gov't told the world that it will be a short operation with…,0,140,Tue May 04 12:25:45 +0000 2021
1389556715444649984,Melting ice reveals first world war relics in Italian Alps https://t.co/uAihPOnOZ1,157,43,Tue May 04 12:25:12 +0000 2021
1389556708062732290,Scotland’s Sturgeon challenges UK: only court can stop a referendum - Sky https://t.co/jTDFkqUWeQ https://t.co/8kVzatKgf2,45,10,Tue May 04 12:25:10 +0000 2021
1389556688055848963,Armed suspect shot outside CIA headquarters after standoff https://t.co/rbWyxsYm34 https://t.co/VBz9XAMwcK,38,16,Tue May 04 12:25:05 +0000 2021
1389556687049199620,Democrats confront difficult prospects for midterms https://t.co/HoBcLR1xpJ https://t.co/cgVKqYS5ah,18,9,Tue May 04 12:25:05 +0000 2021
1389556424586448901,RT @APEntertainment: SHOWBIZ MINUTE: Kevin Spacey - Lady Gaga - Bill Gates https://t.co/VqANFw3eWC,0,2,Tue May 04 12:24:02 +0000 2021
1389556333872037892,"More and more across the financial industry, executives are talking about how and when to bring significant numbers… https://t.co/NJgYXRb1cg",14,6,Tue May 04 12:23:41 +0000 2021
1389556172890460182,Bill and Melinda Gates announce they are getting divorced. https://t.co/aVYPNn0ets,60,11,Tue May 04 12:23:02 +0000 2021
1389555935270612993,Mark Zuckerberg adds 600 acres to his controversial Hawaii estate https://t.co/KtVPdhuAjL https://t.co/2BaQJ4GfyH,40,16,Tue May 04 12:22:06 +0000 2021
1389555434449772545,"Driver shortage, looming regulation cloud Uber, Lyft recovery https://t.co/KXIaP8rruT https://t.co/NxNEMQPAgR",25,10,Tue May 04 12:20:06 +0000 2021
1389555406603751425,"A U.S Air Force jet touched down with oxygen cylinders and aid as the U.S., UK and other countries around the world… https://t.co/TPYOeCurOJ",345,112,Tue May 04 12:20:00 +0000 2021
1389555396814282753,A great clip on astute questioning and shambolic defence. Good ref if you are teaching/learning interview skills.… https://t.co/oxasPRHhR3,2,0,Tue May 04 12:19:57 +0000 2021
1389555175392784386,FAA warns of spike in unruly airline passengers despite fewer people traveling amid the coronavirus pandemic… https://t.co/f6gYrp1m1D,14,13,Tue May 04 12:19:05 +0000 2021
1389554414688612352,"Even though the tax increases would hit Colombia's wealthiest hardest, many feel that it is not the right time to r… https://t.co/c9eu9RKVuj",104,38,Tue May 04 12:16:03 +0000 2021
1389554411010134017,Allies of GOP leader vow to oust Liz Cheney https://t.co/mofWQRZYG7 https://t.co/mEkOlN5J5o,39,7,Tue May 04 12:16:02 +0000 2021
